acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Isabelle Carré",,,  12/11/2014,"
                                  1h 35min                            ",83670,,Drame,France,,,,199,"
                Diaphana","
                            Marie Heurtin",https://www.jpbox-office.com/fichfilm.php?id=14682&view=2
,32 000 000 $,,  07/11/2018,"
                                  2h 21min                            ",83684,,Thriller,Etats-Unis,,,,189,"
                20th Century Fox","
                            Sale temps à l'hôtel El Royale",https://www.jpbox-office.com/fichfilm.php?id=18256&view=2
"
                            Isabelle Carré",2 488 546 €,,  12/11/2014,"
                                  1h 35min                            ",83670,,Drame,France,,,,199,"
                Diaphana","
                            Marie Heurtin",https://www.jpbox-office.com/fichfilm.php?id=14682&view=2
"
                            Jeff Bridges,
                            Chris Hemsworth",32 000 000 $,,  07/11/2018,"
                                  2h 21min                            ",83684,,Thriller,Etats-Unis,,,,189,"
                20th Century Fox","
                            Sale temps à l'hôtel El Royale",https://www.jpbox-office.com/fichfilm.php?id=18256&view=2
,45 000 000 $,,  15/02/1995,"
                                  1h 41min                            ",83742,,Aventure - Action,Etats-Unis,,"
                                    John Badham",,98,"
                UIP","
                            Drop Zone",https://www.jpbox-office.com/fichfilm.php?id=4344&view=2
,3 936 497 €,,  20/05/2015,"
                                  2h 00min                            ",84181,,Drame,France,,,,199,"
                Le Pacte","
                            Trois souvenirs de ma jeunesse",https://www.jpbox-office.com/fichfilm.php?id=15213&view=2
"
                            Wesley Snipes",45 000 000 $,Hans Zimmer,  15/02/1995,"
                                  1h 41min                            ",83742,,Aventure - Action,Etats-Unis,,"
                                    John Badham",,98,"
                UIP","
                            Drop Zone",https://www.jpbox-office.com/fichfilm.php?id=4344&view=2
,? €,,  20/09/2017,"
                                  1h 42min                            ",84248,,Comédie dramatique,France,,,,226,"
                Studiocanal","
                            Gauguin – Voyage de Tahiti",https://www.jpbox-office.com/fichfilm.php?id=17310&view=2
,50 000 000 $,,  18/08/2010,"
                                  1h 27min                            ",83696,,Film familial,Etats-Unis,,,,281,"
                20th Century Fox","
                            Marmaduke",https://www.jpbox-office.com/fichfilm.php?id=11250&view=2
,70 000 000 $,,  29/05/2002,"
                                  2h 05min                            ",84139,,Guerre,Etats-Unis,,,,151,"
                UFD","
                            Mission évasion",https://www.jpbox-office.com/fichfilm.php?id=1886&view=2
"
                            Mathieu Amalric",3 936 497 €,,  20/05/2015,"
                                  2h 00min                            ",84181,,Drame,France,,,,199,"
                Le Pacte","
                            Trois souvenirs de ma jeunesse",https://www.jpbox-office.com/fichfilm.php?id=15213&view=2
"
                            Vincent Cassel",? €,,  20/09/2017,"
                                  1h 42min                            ",84248,,Comédie dramatique,France,,,,226,"
                Studiocanal","
                            Gauguin – Voyage de Tahiti",https://www.jpbox-office.com/fichfilm.php?id=17310&view=2
"
                            Ralph Fiennes,
                            Gabriel Byrne",,Howard Shore,  13/11/2002,"
                                  1h 38min                            ",84371,,Thriller,Canada,,"
                                    David Cronenberg",,172,"
                Metropolitan","
                            Spider",https://www.jpbox-office.com/fichfilm.php?id=1892&view=2
,,,  05/03/2008,"
                                  1h 40min                            ",84293,,Thriller,Espagne,,"
                                    Juan Antonio Bayona",,,"
                Wild Bunch","
                            L'Orphelinat",https://www.jpbox-office.com/fichfilm.php?id=9909&view=2
"
                            Ralph Fiennes,
                            Gabriel Byrne",10 000 000 $,Howard Shore,  13/11/2002,"
                                  1h 38min                            ",84371,,Thriller,Canada,,"
                                    David Cronenberg",,172,"
                Metropolitan","
                            Spider",https://www.jpbox-office.com/fichfilm.php?id=1892&view=2
"
                            Ewan McGregor,
                            Renee Zellweger",,,  10/09/2003,"
                                  1h 42min                            ",84439,,Romance,Etats-Unis,,,,181,"
                UFD","
                            Bye bye love",https://www.jpbox-office.com/fichfilm.php?id=1586&view=2
,? $,,  05/03/2008,"
                                  1h 40min                            ",84293,,Thriller,Espagne,,"
                                    Juan Antonio Bayona",,,"
                Wild Bunch","
                            L'Orphelinat",https://www.jpbox-office.com/fichfilm.php?id=9909&view=2
"
                            Bruce Willis,
                            Colin Farrell,
                            Sam Worthington",70 000 000 $,,  29/05/2002,"
                                  2h 05min                            ",84139,,Guerre,Etats-Unis,,,,151,"
                UFD","
                            Mission évasion",https://www.jpbox-office.com/fichfilm.php?id=1886&view=2
